year,rice_yield_kgha,tas_season,tasmax_season,tasmin_season,pr_season,tas_establish,tasmax_establish,tasmin_establish,pr_establish,tas_flower,tasmax_flower,tasmin_flower,pr_flower,tas_grainfill,tasmax_grainfill,tasmin_grainfill,pr_grainfill
1963,1934.9,16.682000000000002,20.18,13.320000000000002,1955.98,17.93,21.255000000000003,14.92,1055.26,17.175,20.25,14.23,829.44,13.2,17.89,8.3,71.28
1964,1999.1,16.985999999999997,20.796,13.484,1811.53,18.36,22.130000000000003,14.815,875.7900000000001,17.02,20.29,14.345,870.91,14.17,19.14,9.1,64.83
1965,1986.5,16.14,19.982000000000003,12.452000000000002,1566.68,18.095,21.92,14.55,840.14,16.265,19.65,13.175,638.8399999999999,11.98,16.77,6.81,87.7
1966,1824.8,16.174,19.872,12.74,1794.04,18.23,21.85,14.875,921.78,16.509999999999998,19.775,13.795,805.31,11.39,16.11,6.36,66.95
1967,1836.1,16.682,20.262,13.190000000000001,1662.0600000000002,18.165,21.575,14.895,953.03,17.575,20.71,14.8,663.79,11.93,16.74,6.56,45.24
1968,1874.5,16.418,19.821999999999996,13.088,1788.2,17.615000000000002,20.695,14.84,953.96,17.68,20.77,14.825,704.52,11.5,16.18,6.11,129.72
1969,1910.4,16.594,19.977999999999998,13.266,1462.95,18.04,21.299999999999997,14.91,697.23,17.189999999999998,20.11,14.585,726.0799999999999,12.51,17.07,7.34,39.64
1970,1948.6,17.174,20.456,14.044,1764.0199999999998,18.07,21.075000000000003,15.29,1033.11,17.805,20.869999999999997,15.105,659.81,14.12,18.39,9.43,71.1
1971,1952.0,16.594,19.714000000000002,13.674000000000001,1827.45,17.895,20.78,15.39,945.0699999999999,17.17,20.115000000000002,14.45,716.1800000000001,12.84,16.78,8.69,166.2
1972,1763.3,16.962,20.657999999999998,13.173999999999998,1627.16,18.785,22.395,15.149999999999999,930.74,17.27,20.625,14.02,602.62,12.7,17.25,7.53,93.8
1973,1969.0,16.778,20.107999999999997,13.434000000000001,2126.88,18.130000000000003,21.26,14.995000000000001,1106.96,17.5,20.560000000000002,14.66,820.07,12.63,16.9,7.86,199.85
1974,1977.9,17.236,20.996,13.406,1554.59,18.27,21.84,14.685,881.56,17.455,20.82,14.14,626.04,14.73,19.66,9.38,46.99
1975,2074.2,17.412000000000003,20.945999999999998,13.930000000000001,1747.3300000000002,18.17,21.439999999999998,14.94,955.72,17.87,21.049999999999997,14.905000000000001,720.95,14.98,19.75,9.96,70.66
1976,1891.4,16.766000000000002,20.732000000000003,12.957999999999998,1528.87,18.015,21.380000000000003,14.715,845.72,17.4,21.07,14.05,634.36,13.0,18.76,7.26,48.79
1977,1805.6,17.27,21.102000000000004,13.552000000000001,1341.74,18.52,22.240000000000002,14.905000000000001,671.0600000000001,18.045,21.58,14.82,588.38,13.22,17.87,8.31,82.3
1978,1852.7,17.466,21.227999999999998,13.822,1542.8700000000001,18.67,22.009999999999998,15.524999999999999,984.47,17.924999999999997,21.415,14.780000000000001,510.47,14.14,19.29,8.5,47.93
1979,1642.4,17.232,21.166,13.052000000000001,1352.67,18.78,22.34,15.129999999999999,829.5999999999999,17.665,21.41,13.73,433.16999999999996,13.27,18.33,7.54,89.9
1980,1932.0,17.146,21.016,13.52,1447.4200000000003,18.75,22.18,15.655000000000001,777.21,17.84,21.43,14.555,617.26,12.55,17.86,7.18,52.95
1981,1974.6,17.101999999999997,21.118,13.173999999999998,1498.4600000000003,18.535,22.215,14.995000000000001,872.9000000000001,17.75,21.25,14.515,587.42,12.94,18.66,6.85,38.14
1982,1448.9,17.014000000000003,21.109999999999996,12.87,1239.0200000000002,18.375,22.04,14.66,669.69,18.02,21.740000000000002,14.425,533.09,12.28,17.99,6.18,36.24
1983,2066.4,17.582,21.612000000000002,13.434000000000001,1359.5,18.955,22.93,14.635,598.02,18.549999999999997,21.975,15.379999999999999,663.86,12.9,18.25,7.14,97.62
1984,1967.8,17.308,21.11,13.586000000000002,1674.45,18.395,21.54,15.515,1014.72,17.735,21.415,14.145,623.65,14.28,19.64,8.61,36.08
1985,2016.1,17.124000000000002,20.676,13.662,1602.8200000000002,18.365000000000002,21.8,15.015,818.02,17.935000000000002,21.17,14.875,617.37,13.02,17.44,8.53,167.43
1986,1779.0,17.080000000000002,21.016,13.096,1475.69,18.759999999999998,22.35,15.045,809.98,17.924999999999997,21.485,14.530000000000001,593.83,12.03,17.41,6.33,71.88
1987,2095.0,17.524,21.327999999999996,13.690000000000001,1632.05,19.21,22.89,15.385,742.2,18.215000000000003,21.52,15.105,771.37,12.77,17.82,7.47,118.48
1988,2263.5,17.746,21.512,13.966,1697.04,18.77,22.07,15.629999999999999,881.66,18.53,21.814999999999998,15.35,784.75,14.13,19.79,7.87,30.63
1989,2365.7,17.323999999999998,21.157999999999998,13.642000000000001,1501.58,18.259999999999998,21.72,14.875,870.21,18.08,21.45,15.125,594.1099999999999,13.94,19.45,8.21,37.26
1990,2406.7,17.544,21.285999999999998,13.937999999999999,1651.0499999999997,19.1,22.455,15.895,948.4399999999999,18.229999999999997,21.57,15.27,644.77,13.06,18.38,7.36,57.84
1991,2048.1,17.53,21.395999999999997,13.691999999999998,1366.2599999999998,18.925,22.42,15.540000000000001,700.1099999999999,18.115000000000002,21.46,15.035,635.04,13.57,19.22,7.31,31.11
1992,2410.0,17.29,21.233999999999998,13.328,1207.74,18.345,22.165,14.515,570.21,18.255000000000003,21.77,14.85,531.4200000000001,13.25,18.3,7.91,106.11
1993,2123.7,17.672000000000004,21.432,13.988,1547.62,18.895,22.490000000000002,15.424999999999999,739.24,18.1,21.32,15.17,764.27,14.37,19.54,8.75,44.11
1994,2391.0,17.98,21.965999999999998,14.101999999999999,1330.2499999999998,19.545,23.259999999999998,16.064999999999998,683.51,18.695,22.14,15.47,606.62,13.42,19.03,7.44,40.12
1995,2455.4,17.720000000000002,21.534,13.992,1616.1100000000001,19.1,22.43,15.965,895.88,18.14,21.634999999999998,14.870000000000001,678.29,14.12,19.54,8.29,41.94
1996,2417.0,17.212,20.892,13.588,1662.5800000000002,18.439999999999998,21.83,15.09,908.34,18.130000000000003,21.555,15.010000000000002,625.4399999999999,12.92,17.69,7.74,128.8
1997,2443.4,17.002,20.964,12.978,1415.44,18.845,22.59,15.16,763.0699999999999,18.08,21.564999999999998,14.77,610.24,11.16,16.51,5.03,42.13
1998,2472.2,18.156,21.768,14.645999999999997,1812.8799999999999,19.52,23.015,16.035,897.5799999999999,18.29,21.54,15.465,848.69,15.16,19.73,10.23,66.61
1999,2702.8,17.312000000000005,20.942,13.740000000000004,1681.29,18.435000000000002,21.815,15.135000000000002,907.05,18.05,21.345,15.0,660.69,13.59,18.39,8.43,113.55
2000,2745.4,17.342000000000002,21.088,13.754,1582.49,18.53,21.78,15.5,889.51,17.64,21.045,14.47,649.76,14.37,19.79,8.83,43.22
2001,2675.4,17.637999999999998,21.284,14.056000000000001,1417.27,18.880000000000003,22.165,15.805,725.46,18.08,21.549999999999997,14.75,575.59,14.27,18.99,9.17,116.22
2002,2675.3,17.284,21.068,13.506,1479.2299999999998,18.715,22.22,15.344999999999999,829.39,17.86,21.25,14.54,599.25,13.27,18.4,7.76,50.59
2003,2857.3,17.612,21.324,14.002,1737.71,18.585,22.009999999999998,15.315000000000001,945.99,18.45,21.765,15.515,726.48,13.99,19.07,8.35,65.24
2004,2782.5,17.122000000000003,21.055999999999997,13.343999999999998,1413.3600000000001,18.310000000000002,21.759999999999998,15.059999999999999,809.75,18.515,22.134999999999998,15.195,512.81,11.96,17.49,6.21,90.8
2005,2716.6,17.824,21.697999999999997,13.956,1408.9,19.185000000000002,22.97,15.37,728.23,18.57,22.03,15.28,594.0,13.61,18.49,8.48,86.67
2007,2775.0,17.802,21.448,14.254,1934.4199999999998,18.98,22.425,15.805,1020.3299999999999,18.384999999999998,21.64,15.32,841.27,14.28,19.11,9.02,72.82
2008,2907.4,17.382,21.158,13.820000000000002,1746.0500000000002,18.740000000000002,21.93,16.035,1024.44,18.045,21.630000000000003,14.690000000000001,669.28,13.34,18.67,7.65,52.33
2009,2716.4,17.89,22.038,13.818000000000001,1479.46,19.475,23.47,15.505,647.96,18.46,22.11,15.105,685.49,13.58,19.03,7.87,146.01
2010,2980.5,17.87,21.682,14.207999999999998,1807.59,19.15,22.89,15.559999999999999,849.57,18.395,21.675,15.515,899.54,14.26,19.28,8.89,58.48
2011,3312.0,17.546,21.418000000000003,13.878,1769.87,18.605,22.05,15.45,929.46,18.345,21.91,15.16,791.8,13.83,19.17,8.17,48.61
2012,3170.9,17.64,21.71,13.673999999999998,1622.21,19.32,23.020000000000003,15.92,832.1,18.4,21.990000000000002,14.965,745.53,12.76,18.53,6.6,44.58
2013,3394.2,17.842,21.31,14.418000000000001,1743.1699999999998,19.025,22.08,16.240000000000002,1054.08,18.445,22.0,14.925,526.91,14.27,18.39,9.76,162.18
2014,3359.6,17.662,21.901999999999997,13.741999999999999,1529.3400000000001,19.46,23.345,15.815,713.01,18.325,22.245,14.905000000000001,715.37,12.74,18.33,7.27,100.96
2015,3154.3,17.896,22.01,13.95,1322.51,19.16,22.945,15.43,671.29,18.645,22.41,15.225,596.73,13.87,19.34,8.44,54.49
2016,3369.0,18.178,22.043999999999997,14.722,1752.71,19.07,22.29,16.285,1060.43,18.86,22.64,15.514999999999999,606.5,15.03,20.36,10.01,85.78
2017,3505.8,18.374000000000002,22.368,14.818000000000001,1605.6900000000003,19.29,22.9,16.045,781.71,19.02,22.729999999999997,15.865000000000002,768.85,15.25,20.58,10.27,55.13
2018,3760.7,17.759999999999998,21.61,14.252,1697.3300000000002,19.45,22.9,16.38,907.84,18.645,22.055,15.705,751.65,12.61,18.14,7.09,37.84
2019,3804.8,18.106,22.201999999999998,14.339999999999998,1702.34,19.275,23.22,15.44,874.48,18.990000000000002,22.71,15.89,772.8299999999999,14.0,19.15,9.04,55.03
2020,3815.3,18.278,21.886000000000003,15.05,1930.6299999999999,18.71,21.605,16.165,1137.17,19.159999999999997,22.425,16.355,765.24,15.65,21.37,10.21,28.22
2021,3472.8,18.223999999999997,21.866000000000003,14.937999999999999,2018.7400000000002,18.994999999999997,22.265,15.985,992.89,18.845,22.26,15.985,813.49,15.44,20.28,10.75,212.36
2022,3789.6,18.194,22.136000000000003,14.568000000000001,1652.61,19.6,23.200000000000003,16.295,793.0999999999999,19.105,22.79,15.875,645.52,13.56,18.7,8.5,213.99
2023,3978.0,18.330000000000002,22.3,14.582000000000003,1457.92,19.67,23.4,16.03,712.97,19.185000000000002,22.68,16.09,645.36,13.94,19.34,8.67,99.59
